"AvailabilityZone","BilledCost","BillingAccountId","BillingAccountName","BillingAccountType","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","CapacityReservationId","CapacityReservationStatus","ChargeCategory","ChargeClass","ChargeDescription","ChargeFrequency","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountQuantity","CommitmentDiscountStatus","CommitmentDiscountType","CommitmentDiscountUnit","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceId","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingCurrency","PricingCurrencyContractedUnitPrice","PricingCurrencyEffectiveCost","PricingCurrencyListUnitPrice","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","ServiceSubcategory","SkuId","SkuMeter","SkuPriceDetails","SkuPriceId","SubAccountId","SubAccountName","SubAccountType","Tags"
"container-availabilityzone-11",822.067255,"volume-billingaccountid-11","gateway-billingaccountname-11","storage-billingaccounttype-11","storage-billingcurrency-11",2024-07-25 09:49:03,2024-01-18 09:07:37,"network-capacityreservationid-11",NULL,"Usage","Correction","instance-chargedescription-11","Recurring",2024-06-10 12:13:15,2024-09-14 11:58:32,NULL,"container-commitmentdiscountid-11","storage-commitmentdiscountname-11",NULL,"Unused","network-commitmentdiscounttype-11","analytics-commitmentdiscountunit-11",339.772772,"compute-consumedunit-11",495.266740,NULL,23.948361,"analytics-invoiceid-11","volume-invoiceissuername-11",877.897599,633.911793,"Other","serverless-pricingcurrency-11",515.184921,342.655257,253.541593,226.963775,"storage-pricingunit-11","analytics-providername-11","database-publishername-11","database-regionid-11","network-regionname-11","compute-resourceid-11","instance-resourcename-11","analytics-resourcetype-11","Analytics","container-servicename-11","Analytics","instance-skuid-11","container-skumeter-11",NULL,"gateway-skupriceid-11","analytics-subaccountid-11","serverless-subaccountname-11","network-subaccounttype-11","{""key"":""value-11""}"
"volume-availabilityzone-12",769.352952,"serverless-billingaccountid-12","storage-billingaccountname-12","storage-billingaccounttype-12","volume-billingcurrency-12",2024-09-14 13:17:36,2024-11-09 09:59:52,"compute-capacityreservationid-12","Unused","Purchase",NULL,NULL,"Recurring",2024-04-24 20:36:03,2024-12-10 14:19:28,"Usage","database-commitmentdiscountid-12","storage-commitmentdiscountname-12",214.777674,"Unused","serverless-commitmentdiscounttype-12","network-commitmentdiscountunit-12",-54.024559,"compute-consumedunit-12",-44.241151,490.118230,-451.162598,"volume-invoiceid-12","analytics-invoiceissuername-12",471.806949,NULL,"Committed",NULL,79.578644,NULL,728.375100,383.048789,"gateway-pricingunit-12","storage-providername-12","storage-publishername-12","volume-regionid-12","compute-regionname-12",NULL,"container-resourcename-12","analytics-resourcetype-12","Identity","analytics-servicename-12","Analytics","serverless-skuid-12","volume-skumeter-12",NULL,"serverless-skupriceid-12","network-subaccountid-12","network-subaccountname-12","serverless-subaccounttype-12","{""key"":""value-12""}"
"volume-availabilityzone-13",178.289180,"database-billingaccountid-13","database-billingaccountname-13","database-billingaccounttype-13","container-billingcurrency-13",2024-12-22 10:02:09,2024-02-23 12:01:45,"gateway-capacityreservationid-13","Unused","Credit","Correction","analytics-chargedescription-13","Recurring",2024-12-22 13:11:27,2024-02-25 22:34:57,"Spend","container-commitmentdiscountid-13",NULL,538.180149,"Unused","database-commitmentdiscounttype-13","analytics-commitmentdiscountunit-13",280.802133,NULL,988.993931,72.035070,167.836091,"container-invoiceid-13","serverless-invoiceissuername-13",937.737464,548.963169,"Standard","storage-pricingcurrency-13",778.968094,507.773006,571.987116,184.783952,"compute-pricingunit-13","database-providername-13","instance-publishername-13","network-regionid-13",NULL,"volume-resourceid-13","storage-resourcename-13","database-resourcetype-13","Compute","network-servicename-13","Other",NULL,"storage-skumeter-13",NULL,"storage-skupriceid-13","volume-subaccountid-13","database-subaccountname-13","network-subaccounttype-13","{""key"":""value-13""}"
"serverless-availabilityzone-14",131.696862,"container-billingaccountid-14","gateway-billingaccountname-14","serverless-billingaccounttype-14","compute-billingcurrency-14",2024-02-03 23:41:22,2024-09-05 07:07:50,"database-capacityreservationid-14","Used","Purchase",NULL,"serverless-chargedescription-14","Usage-Based",2024-09-01 07:28:41,2024-02-25 14:46:35,"Usage","compute-commitmentdiscountid-14","storage-commitmentdiscountname-14",859.070837,NULL,"instance-commitmentdiscounttype-14","compute-commitmentdiscountunit-14",414.038360,"database-consumedunit-14",337.259351,896.932528,34.609746,"network-invoiceid-14","gateway-invoiceissuername-14",935.494098,175.559022,"Other","network-pricingcurrency-14",890.119591,556.678495,NULL,-964.271884,"serverless-pricingunit-14","container-providername-14","serverless-publishername-14",NULL,"database-regionname-14","storage-resourceid-14",NULL,NULL,"Integration","storage-servicename-14","Developer Tools","storage-skuid-14","compute-skumeter-14",NULL,NULL,"compute-subaccountid-14","network-subaccountname-14","network-subaccounttype-14","{""key"":""value-14""}"
"volume-availabilityzone-15",670.323209,"database-billingaccountid-15","analytics-billingaccountname-15","compute-billingaccounttype-15","serverless-billingcurrency-15",2024-12-05 01:55:48,2024-03-02 13:40:29,"compute-capacityreservationid-15","Used","Usage","Correction","gateway-chargedescription-15","Recurring",2024-06-01 06:48:14,2024-09-21 15:09:53,"Usage","network-commitmentdiscountid-15","container-commitmentdiscountname-15",NULL,"Unused","network-commitmentdiscounttype-15","database-commitmentdiscountunit-15",69.866772,"compute-consumedunit-15",126.791216,158.425329,171.500652,"database-invoiceid-15","compute-invoiceissuername-15",602.109470,139.522889,"Other",NULL,46.580163,365.271276,65.090147,410.439011,"volume-pricingunit-15","serverless-providername-15","gateway-publishername-15","volume-regionid-15","storage-regionname-15","volume-resourceid-15",NULL,"volume-resourcetype-15","Integration","container-servicename-15","Integration","container-skuid-15","instance-skumeter-15",NULL,"network-skupriceid-15","container-subaccountid-15","gateway-subaccountname-15","serverless-subaccounttype-15","{""key"":""value-15""}"
"analytics-availabilityzone-16",209.261067,"database-billingaccountid-16","gateway-billingaccountname-16","analytics-billingaccounttype-16","instance-billingcurrency-16",2024-04-02 13:54:31,2024-08-23 15:41:27,"network-capacityreservationid-16","Used","Purchase","Correction","serverless-chargedescription-16","Recurring",2024-06-04 09:19:56,2024-12-08 19:02:53,"Usage",NULL,"storage-commitmentdiscountname-16",NULL,"Used","instance-commitmentdiscounttype-16","compute-commitmentdiscountunit-16",NULL,"gateway-consumedunit-16",877.642144,866.334313,952.382800,"gateway-invoiceid-16","compute-invoiceissuername-16",555.454496,546.871010,"Dynamic","gateway-pricingcurrency-16",669.838585,525.706760,554.999970,NULL,"storage-pricingunit-16","database-providername-16","storage-publishername-16","storage-regionid-16","database-regionname-16","serverless-resourceid-16","instance-resourcename-16","storage-resourcetype-16","Web","volume-servicename-16","Security","analytics-skuid-16","analytics-skumeter-16",NULL,"container-skupriceid-16","serverless-subaccountid-16","analytics-subaccountname-16",NULL,NULL
"analytics-availabilityzone-17",118.010834,"database-billingaccountid-17","container-billingaccountname-17","compute-billingaccounttype-17","serverless-billingcurrency-17",2024-02-04 06:43:39,2024-12-10 08:29:08,"network-capacityreservationid-17",NULL,"Usage","Correction","gateway-chargedescription-17","One-Time",2024-03-10 06:54:22,2024-03-06 04:45:18,"Spend","instance-commitmentdiscountid-17","serverless-commitmentdiscountname-17",-900.467610,"Unused","volume-commitmentdiscounttype-17","volume-commitmentdiscountunit-17",979.167278,"network-consumedunit-17",81.931004,134.947777,688.638758,"instance-invoiceid-17","serverless-invoiceissuername-17",183.804186,480.654149,"Dynamic","storage-pricingcurrency-17",85.280288,-561.084558,315.782263,NULL,"storage-pricingunit-17","network-providername-17","storage-publishername-17","gateway-regionid-17",NULL,"volume-resourceid-17","container-resourcename-17","serverless-resourcetype-17","Databases","container-servicename-17","AI and Machine Learning","analytics-skuid-17","volume-skumeter-17",NULL,NULL,"storage-subaccountid-17",NULL,"storage-subaccounttype-17","{""key"":""value-17""}"
NULL,704.156999,"analytics-billingaccountid-18","volume-billingaccountname-18","gateway-billingaccounttype-18","container-billingcurrency-18",2024-03-25 19:23:40,2024-07-09 06:29:59,"analytics-capacityreservationid-18","Unused","Usage",NULL,NULL,"One-Time",2024-11-15 21:23:13,2024-10-01 10:17:48,"Spend","analytics-commitmentdiscountid-18","storage-commitmentdiscountname-18",526.672151,"Used","compute-commitmentdiscounttype-18","compute-commitmentdiscountunit-18",298.928506,"container-consumedunit-18",325.534713,594.790617,779.120749,"serverless-invoiceid-18","storage-invoiceissuername-18",469.571240,NULL,"Other",NULL,764.976033,NULL,824.302166,248.367390,"volume-pricingunit-18","compute-providername-18","database-publishername-18","serverless-regionid-18",NULL,"container-resourceid-18","database-resourcename-18","container-resourcetype-18","Storage","serverless-servicename-18","Media","database-skuid-18",NULL,NULL,"gateway-skupriceid-18","volume-subaccountid-18","container-subaccountname-18","gateway-subaccounttype-18","{""key"":""value-18""}"
NULL,255.313811,"container-billingaccountid-19","analytics-billingaccountname-19","instance-billingaccounttype-19","analytics-billingcurrency-19",2024-03-13 04:58:02,2024-08-20 16:54:28,"network-capacityreservationid-19",NULL,"Tax","Correction","serverless-chargedescription-19","Recurring",2024-06-05 02:37:07,2024-02-01 02:13:09,"Spend","database-commitmentdiscountid-19","compute-commitmentdiscountname-19",NULL,"Used","network-commitmentdiscounttype-19","instance-commitmentdiscountunit-19",43.416304,NULL,-982.645915,597.879110,536.028524,"database-invoiceid-19","container-invoiceissuername-19",41.909047,NULL,"Other","volume-pricingcurrency-19",174.977916,-574.880177,359.274195,382.154038,"network-pricingunit-19","database-providername-19","storage-publishername-19","instance-regionid-19","gateway-regionname-19","instance-resourceid-19","serverless-resourcename-19","container-resourcetype-19","Databases","storage-servicename-19","Networking","serverless-skuid-19","volume-skumeter-19",NULL,"compute-skupriceid-19","instance-subaccountid-19","instance-subaccountname-19","container-subaccounttype-19","{""key"":""value-19""}"
"volume-availabilityzone-20",393.650950,"instance-billingaccountid-20","volume-billingaccountname-20","compute-billingaccounttype-20","analytics-billingcurrency-20",2024-03-23 19:17:49,2024-04-18 08:42:55,"serverless-capacityreservationid-20","Unused","Purchase","Correction","compute-chargedescription-20","One-Time",2024-09-19 09:41:46,2024-01-11 23:18:06,NULL,"volume-commitmentdiscountid-20","database-commitmentdiscountname-20",34.523248,"Unused","instance-commitmentdiscounttype-20","storage-commitmentdiscountunit-20",806.895477,NULL,824.224179,258.513486,-700.559802,NULL,"serverless-invoiceissuername-20",595.771287,NULL,"Committed","serverless-pricingcurrency-20",253.280504,180.164849,128.091764,-428.274425,"compute-pricingunit-20","analytics-providername-20","storage-publishername-20",NULL,"gateway-regionname-20",NULL,"instance-resourcename-20","compute-resourcetype-20","AI and Machine Learning","network-servicename-20","Security","container-skuid-20","container-skumeter-20",NULL,"container-skupriceid-20","database-subaccountid-20","database-subaccountname-20","serverless-subaccounttype-20","{""key"":""value-20""}"
"volume-availabilityzone-21",-92.991095,"serverless-billingaccountid-21","compute-billingaccountname-21","serverless-billingaccounttype-21","storage-billingcurrency-21",2024-12-20 10:17:40,2024-11-14 22:07:24,"gateway-capacityreservationid-21","Unused","Credit",NULL,"instance-chargedescription-21","Recurring",2024-11-04 03:20:38,2024-03-14 01:58:32,"Spend",NULL,"container-commitmentdiscountname-21",-35.659425,"Unused","analytics-commitmentdiscounttype-21","analytics-commitmentdiscountunit-21",179.064314,NULL,126.605150,185.186767,388.496110,"database-invoiceid-21","network-invoiceissuername-21",305.769045,NULL,"Standard","network-pricingcurrency-21",586.128311,822.788350,60.925917,811.024597,"network-pricingunit-21","serverless-providername-21","instance-publishername-21","instance-regionid-21","storage-regionname-21","container-resourceid-21",NULL,"instance-resourcetype-21","Security","network-servicename-21","Management and Governance","database-skuid-21","container-skumeter-21",NULL,"instance-skupriceid-21","instance-subaccountid-21",NULL,NULL,"{""key"":""value-21""}"
"volume-availabilityzone-22",602.029798,"network-billingaccountid-22","database-billingaccountname-22","gateway-billingaccounttype-22","storage-billingcurrency-22",2024-05-14 01:03:43,2024-05-19 01:41:21,"compute-capacityreservationid-22","Used","Adjustment","Correction","database-chargedescription-22","Recurring",2024-10-02 08:38:03,2024-11-20 09:13:57,NULL,"database-commitmentdiscountid-22",NULL,247.234030,"Unused","instance-commitmentdiscounttype-22","instance-commitmentdiscountunit-22",879.255298,"container-consumedunit-22",519.630919,NULL,456.814524,"volume-invoiceid-22","storage-invoiceissuername-22",835.491797,383.740344,"Dynamic","serverless-pricingcurrency-22",987.307792,-299.201423,893.009356,368.026806,NULL,"volume-providername-22","network-publishername-22","compute-regionid-22","gateway-regionname-22","volume-resourceid-22","container-resourcename-22","gateway-resourcetype-22","Developer Tools","gateway-servicename-22","Management and Governance","instance-skuid-22","network-skumeter-22",NULL,"instance-skupriceid-22","database-subaccountid-22",NULL,"network-subaccounttype-22","{""key"":""value-22""}"
"database-availabilityzone-23",290.571476,"serverless-billingaccountid-23","serverless-billingaccountname-23","serverless-billingaccounttype-23","instance-billingcurrency-23",2024-09-22 00:49:30,2024-04-24 18:35:01,"serverless-capacityreservationid-23","Unused","Adjustment","Correction","analytics-chargedescription-23","Recurring",2024-07-08 19:04:04,2024-07-24 05:40:48,NULL,"volume-commitmentdiscountid-23",NULL,198.290257,"Unused","container-commitmentdiscounttype-23","compute-commitmentdiscountunit-23",NULL,"network-consumedunit-23",876.416313,NULL,495.769979,"storage-invoiceid-23","storage-invoiceissuername-23",768.000896,987.386434,NULL,"serverless-pricingcurrency-23",814.463799,-817.310373,NULL,836.028391,NULL,"database-providername-23","gateway-publishername-23","analytics-regionid-23",NULL,"network-resourceid-23","storage-resourcename-23","storage-resourcetype-23","Multicloud","volume-servicename-23","Management and Governance","storage-skuid-23","instance-skumeter-23",NULL,NULL,"serverless-subaccountid-23","gateway-subaccountname-23","network-subaccounttype-23","{""key"":""value-23""}"
"network-availabilityzone-24",978.212486,"network-billingaccountid-24","gateway-billingaccountname-24","network-billingaccounttype-24","network-billingcurrency-24",2024-03-03 01:05:57,2024-02-10 20:46:55,"storage-capacityreservationid-24","Unused","Adjustment","Correction","compute-chargedescription-24","Recurring",2024-02-10 16:23:09,2024-11-07 23:04:36,NULL,NULL,NULL,-301.413235,"Unused","serverless-commitmentdiscounttype-24","storage-commitmentdiscountunit-24",NULL,"serverless-consumedunit-24",823.151112,338.361463,215.867896,"gateway-invoiceid-24","container-invoiceissuername-24",786.067988,NULL,"Committed","database-pricingcurrency-24",NULL,-136.985263,68.640463,216.448978,"gateway-pricingunit-24","container-providername-24","gateway-publishername-24","serverless-regionid-24","database-regionname-24","container-resourceid-24","gateway-resourcename-24","storage-resourcetype-24","Storage","network-servicename-24","Mobile","analytics-skuid-24","gateway-skumeter-24",NULL,"database-skupriceid-24","serverless-subaccountid-24","database-subaccountname-24","gateway-subaccounttype-24","{""key"":""value-24""}"
"serverless-availabilityzone-25",741.817607,"container-billingaccountid-25",NULL,"database-billingaccounttype-25","network-billingcurrency-25",2024-01-19 07:56:26,2024-03-22 20:53:12,"instance-capacityreservationid-25","Unused","Purchase","Correction","serverless-chargedescription-25","Usage-Based",2024-03-14 14:49:00,2024-01-18 10:36:19,"Usage",NULL,"database-commitmentdiscountname-25",-871.263849,"Used","analytics-commitmentdiscounttype-25","container-commitmentdiscountunit-25",10.087957,"compute-consumedunit-25",273.547786,818.017596,239.374561,"serverless-invoiceid-25","volume-invoiceissuername-25",458.988652,603.486308,"Standard",NULL,NULL,745.690121,872.397884,NULL,"compute-pricingunit-25","database-providername-25","database-publishername-25",NULL,"container-regionname-25","serverless-resourceid-25","database-resourcename-25","instance-resourcetype-25","Security","gateway-servicename-25","Multicloud","container-skuid-25","instance-skumeter-25",NULL,"analytics-skupriceid-25","gateway-subaccountid-25","gateway-subaccountname-25","analytics-subaccounttype-25","{""key"":""value-25""}"
