"AvailabilityZone","BilledCost","BillingAccountId","BillingAccountName","BillingCurrency","BillingPeriodEnd","BillingPeriodStart","ChargeCategory","ChargeClass","ChargeDescription","ChargeFrequency","ChargePeriodEnd","ChargePeriodStart","CommitmentDiscountCategory","CommitmentDiscountId","CommitmentDiscountName","CommitmentDiscountStatus","CommitmentDiscountType","ConsumedQuantity","ConsumedUnit","ContractedCost","ContractedUnitPrice","EffectiveCost","InvoiceIssuerName","ListCost","ListUnitPrice","PricingCategory","PricingQuantity","PricingUnit","ProviderName","PublisherName","RegionId","RegionName","ResourceId","ResourceName","ResourceType","ServiceCategory","ServiceName","SkuId","SkuPriceId","SubAccountId","SubAccountName","Tags"
NULL,622.457830,"serverless-billingaccountid-11","instance-billingaccountname-11","GBP",2024-10-05 11:39:24,2024-03-28 22:25:55,"Adjustment",NULL,"instance-chargedescription-11","One-Time",2024-06-23 08:43:21,2024-12-02 22:44:27,"Spend","network-commitmentdiscountid-11","compute-commitmentdiscountname-11","Used","compute-commitmentdiscounttype-11",89.532353,"analytics-consumedunit-11",335.313942,300.779480,781.832741,"gateway-invoiceissuername-11",666.063099,598.364165,"Dynamic",411.157299,"database-pricingunit-11","storage-providername-11","serverless-publishername-11","container-regionid-11","instance-regionname-11","container-resourceid-11","database-resourcename-11","network-resourcetype-11","Analytics","serverless-servicename-11",NULL,NULL,"storage-subaccountid-11","storage-subaccountname-11","{""key"":""value-11""}"
"analytics-availabilityzone-12",716.805791,"instance-billingaccountid-12","instance-billingaccountname-12","EUR",2024-04-02 17:45:53,2024-06-08 14:38:16,"Adjustment","Correction","container-chargedescription-12","Usage-Based",2024-05-27 19:05:52,2024-09-24 05:07:50,"Usage","analytics-commitmentdiscountid-12","container-commitmentdiscountname-12",NULL,"volume-commitmentdiscounttype-12",567.726474,"compute-consumedunit-12",877.651283,996.370114,661.407934,"database-invoiceissuername-12",207.493850,988.257053,"Dynamic",175.152184,"container-pricingunit-12","database-providername-12","analytics-publishername-12","analytics-regionid-12","network-regionname-12","instance-resourceid-12","storage-resourcename-12","storage-resourcetype-12","Storage","compute-servicename-12","gateway-skuid-12","compute-skupriceid-12","compute-subaccountid-12","analytics-subaccountname-12","{""key"":""value-12""}"
"container-availabilityzone-13",526.124500,"volume-billingaccountid-13","compute-billingaccountname-13","AUD",2024-10-15 01:16:14,2024-10-13 03:17:37,"Credit","Correction","instance-chargedescription-13","Usage-Based",2024-09-24 08:11:03,2024-07-18 06:58:58,"Usage","gateway-commitmentdiscountid-13",NULL,"Unused","volume-commitmentdiscounttype-13",748.299575,"instance-consumedunit-13",859.143569,374.647822,-556.701092,"database-invoiceissuername-13",200.125671,676.637395,"Other",20.757693,"volume-pricingunit-13","volume-providername-13","database-publishername-13","instance-regionid-13","network-regionname-13","storage-resourceid-13","instance-resourcename-13","instance-resourcetype-13","Security","serverless-servicename-13","network-skuid-13","analytics-skupriceid-13","volume-subaccountid-13","container-subaccountname-13","{""key"":""value-13""}"
"volume-availabilityzone-14",946.920459,"storage-billingaccountid-14","container-billingaccountname-14","AUD",2024-05-24 01:02:36,2024-05-04 15:52:12,"Usage",NULL,"network-chargedescription-14","Usage-Based",2024-11-12 11:19:30,2024-03-08 16:28:28,"Usage",NULL,"container-commitmentdiscountname-14","Used",NULL,976.370063,"network-consumedunit-14",480.866688,523.158003,-447.809648,"analytics-invoiceissuername-14",742.969904,NULL,"Standard",920.502007,"analytics-pricingunit-14","serverless-providername-14","network-publishername-14","storage-regionid-14","instance-regionname-14","serverless-resourceid-14","serverless-resourcename-14","network-resourcetype-14","Internet of Things","network-servicename-14","analytics-skuid-14",NULL,"database-subaccountid-14","database-subaccountname-14","{""key"":""value-14""}"
"gateway-availabilityzone-15",43.267187,"instance-billingaccountid-15","analytics-billingaccountname-15","USD",2024-07-04 04:49:13,2024-07-12 18:34:29,"Adjustment","Correction","serverless-chargedescription-15","Usage-Based",2024-12-22 19:38:11,2024-03-04 21:42:29,"Spend","instance-commitmentdiscountid-15","analytics-commitmentdiscountname-15","Unused","compute-commitmentdiscounttype-15",918.998843,NULL,54.317416,835.525122,856.325102,"compute-invoiceissuername-15",934.012534,331.622664,"Other",849.255663,"storage-pricingunit-15","analytics-providername-15","network-publishername-15","container-regionid-15","volume-regionname-15","gateway-resourceid-15","storage-resourcename-15",NULL,"AI and Machine Learning","gateway-servicename-15",NULL,NULL,NULL,"analytics-subaccountname-15","{""key"":""value-15""}"
NULL,739.182854,"analytics-billingaccountid-16","database-billingaccountname-16","USD",2024-12-17 02:09:04,2024-01-06 17:42:22,"Purchase","Correction",NULL,"One-Time",2024-06-27 09:04:06,2024-12-17 23:27:25,"Spend","serverless-commitmentdiscountid-16","volume-commitmentdiscountname-16","Unused","network-commitmentdiscounttype-16",212.881640,"volume-consumedunit-16",380.007457,905.625147,361.213546,"database-invoiceissuername-16",362.784949,763.981930,"Standard",94.117556,"compute-pricingunit-16","gateway-providername-16","gateway-publishername-16","analytics-regionid-16","gateway-regionname-16","storage-resourceid-16","analytics-resourcename-16","volume-resourcetype-16","Networking","container-servicename-16","analytics-skuid-16","instance-skupriceid-16","container-subaccountid-16","network-subaccountname-16","{""key"":""value-16""}"
"container-availabilityzone-17",99.170824,"container-billingaccountid-17",NULL,"AUD",2024-12-15 07:27:27,2024-04-08 07:06:59,"Usage","Correction","volume-chargedescription-17","Recurring",2024-07-19 22:24:44,2024-07-13 01:17:07,"Usage","container-commitmentdiscountid-17","database-commitmentdiscountname-17","Unused","volume-commitmentdiscounttype-17",46.536103,"container-consumedunit-17",-227.367584,954.845822,760.732537,"database-invoiceissuername-17",321.315334,993.832908,NULL,130.044125,"network-pricingunit-17","volume-providername-17","network-publishername-17","gateway-regionid-17","instance-regionname-17","serverless-resourceid-17",NULL,"container-resourcetype-17","Business Applications","gateway-servicename-17","compute-skuid-17",NULL,NULL,"serverless-subaccountname-17","{""key"":""value-17""}"
"storage-availabilityzone-18",313.820734,"instance-billingaccountid-18","database-billingaccountname-18","JPY",2024-06-10 03:37:36,2024-09-20 00:19:28,"Credit",NULL,"serverless-chargedescription-18","Usage-Based",2024-08-16 22:11:00,2024-09-04 23:51:30,NULL,"instance-commitmentdiscountid-18","compute-commitmentdiscountname-18","Used","serverless-commitmentdiscounttype-18",337.259351,"instance-consumedunit-18",34.609746,299.863762,757.104469,"container-invoiceissuername-18",921.969164,977.158574,"Standard",890.119591,"network-pricingunit-18","compute-providername-18","instance-publishername-18","compute-regionid-18","serverless-regionname-18","serverless-resourceid-18",NULL,"database-resourcetype-18","Migration","storage-servicename-18",NULL,NULL,"storage-subaccountid-18","instance-subaccountname-18",NULL
"compute-availabilityzone-19",110.858563,"compute-billingaccountid-19","network-billingaccountname-19","EUR",2024-04-16 13:59:40,2024-09-11 14:28:04,"Credit","Correction",NULL,"Usage-Based",2024-10-07 01:33:40,2024-06-23 01:49:26,NULL,"volume-commitmentdiscountid-19","gateway-commitmentdiscountname-19","Used",NULL,811.493565,"gateway-consumedunit-19",664.224750,503.451339,814.810501,"network-invoiceissuername-19",871.054845,NULL,"Committed",268.991154,"serverless-pricingunit-19","compute-providername-19","network-publishername-19","compute-regionid-19",NULL,"instance-resourceid-19","storage-resourcename-19","analytics-resourcetype-19","Multicloud","compute-servicename-19","serverless-skuid-19","storage-skupriceid-19","instance-subaccountid-19",NULL,"{""key"":""value-19""}"
NULL,418.145834,"serverless-billingaccountid-20","compute-billingaccountname-20","GBP",2024-05-21 11:59:36,2024-10-16 22:37:09,"Adjustment","Correction","volume-chargedescription-20","Recurring",2024-07-13 06:30:20,2024-11-08 06:48:32,"Usage","serverless-commitmentdiscountid-20","volume-commitmentdiscountname-20","Used","database-commitmentdiscounttype-20",796.545240,"network-consumedunit-20",43.823654,526.820734,664.027416,"serverless-invoiceissuername-20",691.576656,268.557121,"Standard",-726.295587,"serverless-pricingunit-20","analytics-providername-20","analytics-publishername-20",NULL,"database-regionname-20","volume-resourceid-20","instance-resourcename-20",NULL,"Storage","gateway-servicename-20","compute-skuid-20","storage-skupriceid-20",NULL,"network-subaccountname-20","{""key"":""value-20""}"
"network-availabilityzone-21",-48.143557,"volume-billingaccountid-21","instance-billingaccountname-21","AUD",2024-05-25 22:40:11,2024-10-02 13:33:18,"Tax","Correction","gateway-chargedescription-21","Usage-Based",2024-09-20 12:37:33,2024-07-03 04:07:19,"Spend",NULL,"database-commitmentdiscountname-21","Unused","instance-commitmentdiscounttype-21",114.046227,"instance-consumedunit-21",195.120712,491.423067,666.713803,"network-invoiceissuername-21",668.294878,135.866832,NULL,440.316567,"database-pricingunit-21","network-providername-21","container-publishername-21",NULL,"storage-regionname-21",NULL,"gateway-resourcename-21","volume-resourcetype-21","Multicloud","database-servicename-21","storage-skuid-21","network-skupriceid-21",NULL,NULL,"{""key"":""value-21""}"
"container-availabilityzone-22",716.035946,"network-billingaccountid-22","network-billingaccountname-22","AUD",2024-05-06 04:12:45,2024-04-28 04:26:50,"Credit","Correction","compute-chargedescription-22","Recurring",2024-08-20 23:54:54,2024-03-28 08:16:13,NULL,"analytics-commitmentdiscountid-22",NULL,"Used","instance-commitmentdiscounttype-22",183.804186,"analytics-consumedunit-22",559.767306,156.781064,-456.146337,"container-invoiceissuername-22",-561.084558,315.782263,NULL,136.906268,NULL,"network-providername-22","gateway-publishername-22",NULL,"volume-regionname-22","container-resourceid-22","serverless-resourcename-22","container-resourcetype-22","AI and Machine Learning","network-servicename-22","gateway-skuid-22","compute-skupriceid-22","storage-subaccountid-22",NULL,"{""key"":""value-22""}"
NULL,-553.443443,"gateway-billingaccountid-23","analytics-billingaccountname-23","AUD",2024-12-22 13:11:52,2024-10-12 16:33:19,"Purchase","Correction","analytics-chargedescription-23","Recurring",2024-09-01 02:01:08,2024-11-15 21:23:13,"Spend","network-commitmentdiscountid-23","analytics-commitmentdiscountname-23",NULL,"analytics-commitmentdiscounttype-23",134.595305,"serverless-consumedunit-23",991.088397,8.574705,-745.750267,"volume-invoiceissuername-23",298.928506,554.731637,"Other",594.790617,"serverless-pricingunit-23","serverless-providername-23","storage-publishername-23","database-regionid-23",NULL,"volume-resourceid-23",NULL,"gateway-resourcetype-23","Business Applications","volume-servicename-23","database-skuid-23","volume-skupriceid-23","volume-subaccountid-23",NULL,"{""key"":""value-23""}"
"serverless-availabilityzone-24",40.127207,"container-billingaccountid-24","database-billingaccountname-24","JPY",2024-07-25 16:38:28,2024-05-03 11:42:32,"Adjustment","Correction","gateway-chargedescription-24","Usage-Based",2024-01-08 15:32:41,2024-06-24 10:11:26,"Usage",NULL,"serverless-commitmentdiscountname-24","Unused","network-commitmentdiscounttype-24",58.726818,"compute-consumedunit-24",856.359673,475.275380,150.957081,"serverless-invoiceissuername-24",118.566690,NULL,NULL,152.753186,NULL,"instance-providername-24","database-publishername-24","compute-regionid-24",NULL,"analytics-resourceid-24","network-resourcename-24","instance-resourcetype-24","Databases","compute-servicename-24","storage-skuid-24","compute-skupriceid-24","container-subaccountid-24","instance-subaccountname-24","{""key"":""value-24""}"
"container-availabilityzone-25",41.909047,"compute-billingaccountid-25","gateway-billingaccountname-25","JPY",2024-12-16 04:48:34,2024-01-05 08:11:22,"Tax","Correction","storage-chargedescription-25","One-Time",2024-11-13 17:46:53,2024-06-18 04:34:13,"Usage","serverless-commitmentdiscountid-25","volume-commitmentdiscountname-25","Used","instance-commitmentdiscounttype-25",818.160186,"container-consumedunit-25",199.812026,963.102432,890.407717,"volume-invoiceissuername-25",70.393740,802.688671,"Dynamic",297.617320,"gateway-pricingunit-25","volume-providername-25","instance-publishername-25","serverless-regionid-25","network-regionname-25","serverless-resourceid-25","compute-resourcename-25","serverless-resourcetype-25","Migration","database-servicename-25","gateway-skuid-25",NULL,"volume-subaccountid-25","storage-subaccountname-25",NULL
"volume-availabilityzone-26",531.962225,"container-billingaccountid-26",NULL,"JPY",2024-09-25 23:53:40,2024-02-16 19:24:06,"Adjustment","Correction","gateway-chargedescription-26","One-Time",2024-01-20 14:23:00,2024-10-21 15:41:19,"Spend","instance-commitmentdiscountid-26","storage-commitmentdiscountname-26","Used",NULL,85.947637,"compute-consumedunit-26",417.197280,NULL,946.376129,"container-invoiceissuername-26",-83.385455,849.585250,"Committed",596.339565,"instance-pricingunit-26","database-providername-26","serverless-publishername-26","volume-regionid-26","volume-regionname-26","volume-resourceid-26",NULL,NULL,"Media","volume-servicename-26",NULL,"storage-skupriceid-26","serverless-subaccountid-26","network-subaccountname-26","{""key"":""value-26""}"
"analytics-availabilityzone-27",944.841736,"analytics-billingaccountid-27","gateway-billingaccountname-27","GBP",2024-10-19 02:46:50,2024-08-26 02:08:20,"Credit","Correction",NULL,"Usage-Based",2024-07-21 06:00:51,2024-07-06 00:04:51,"Spend","database-commitmentdiscountid-27","container-commitmentdiscountname-27","Unused",NULL,NULL,"network-consumedunit-27",185.186767,174.703906,378.093602,"database-invoiceissuername-27",-985.023643,190.653398,"Dynamic",586.128311,"container-pricingunit-27","instance-providername-27","compute-publishername-27","instance-regionid-27","gateway-regionname-27","serverless-resourceid-27","analytics-resourcename-27","network-resourcetype-27","Compute","gateway-servicename-27","compute-skuid-27","instance-skupriceid-27","network-subaccountid-27","volume-subaccountname-27","{""key"":""value-27""}"
"container-availabilityzone-28",562.182557,"gateway-billingaccountid-28","compute-billingaccountname-28","USD",2024-09-22 23:36:09,2024-03-23 08:42:06,"Purchase","Correction",NULL,"Usage-Based",2024-05-19 01:41:21,2024-07-03 12:14:54,"Spend","database-commitmentdiscountid-28","instance-commitmentdiscountname-28",NULL,"serverless-commitmentdiscounttype-28",NULL,"gateway-consumedunit-28",376.980611,128.901594,229.992351,"compute-invoiceissuername-28",669.051738,448.908576,"Standard",716.412116,"instance-pricingunit-28","storage-providername-28","network-publishername-28","container-regionid-28","compute-regionname-28","instance-resourceid-28","volume-resourcename-28",NULL,"Security","container-servicename-28","database-skuid-28","network-skupriceid-28","serverless-subaccountid-28","volume-subaccountname-28","{""key"":""value-28""}"
"compute-availabilityzone-29",695.293491,"database-billingaccountid-29","gateway-billingaccountname-29","USD",2024-11-08 09:04:33,2024-10-11 22:17:33,"Adjustment","Correction","container-chargedescription-29","Usage-Based",2024-11-23 05:13:51,2024-05-11 01:59:15,"Spend","network-commitmentdiscountid-29","serverless-commitmentdiscountname-29","Unused","instance-commitmentdiscounttype-29",-750.485504,"container-consumedunit-29",259.146956,597.765679,29.515253,"serverless-invoiceissuername-29",350.545928,466.882559,"Other",397.604155,"instance-pricingunit-29","compute-providername-29","compute-publishername-29","instance-regionid-29","serverless-regionname-29","compute-resourceid-29","volume-resourcename-29",NULL,"Developer Tools","storage-servicename-29","serverless-skuid-29","instance-skupriceid-29","gateway-subaccountid-29",NULL,NULL
"network-availabilityzone-30",876.416313,"compute-billingaccountid-30","container-billingaccountname-30","EUR",2024-03-06 18:24:23,2024-12-02 04:39:09,"Adjustment","Correction",NULL,"One-Time",2024-08-24 22:06:19,2024-10-05 10:05:29,"Usage","instance-commitmentdiscountid-30",NULL,"Unused","container-commitmentdiscounttype-30",NULL,"instance-consumedunit-30",140.499129,323.454392,790.079545,"network-invoiceissuername-30",328.545420,978.212486,"Standard",766.487111,"storage-pricingunit-30","compute-providername-30","compute-publishername-30",NULL,"storage-regionname-30","instance-resourceid-30","volume-resourcename-30","storage-resourcetype-30","Migration","serverless-servicename-30","container-skuid-30","serverless-skupriceid-30",NULL,"storage-subaccountname-30","{""key"":""value-30""}"
"database-availabilityzone-31",165.810356,"network-billingaccountid-31","compute-billingaccountname-31","JPY",2024-02-01 01:48:18,2024-01-28 17:36:39,"Credit","Correction","serverless-chargedescription-31","Usage-Based",2024-12-28 08:12:40,2024-07-21 12:47:59,NULL,"serverless-commitmentdiscountid-31","database-commitmentdiscountname-31",NULL,"storage-commitmentdiscounttype-31",NULL,"compute-consumedunit-31",642.032075,508.136808,718.268427,"gateway-invoiceissuername-31",446.313010,372.140319,"Committed",703.244807,NULL,"instance-providername-31","network-publishername-31","volume-regionid-31","container-regionname-31","volume-resourceid-31","database-resourcename-31","container-resourcetype-31","Identity","instance-servicename-31","network-skuid-31","serverless-skupriceid-31","serverless-subaccountid-31","compute-subaccountname-31","{""key"":""value-31""}"
"compute-availabilityzone-32",678.300537,"volume-billingaccountid-32","network-billingaccountname-32","JPY",2024-11-25 05:14:49,2024-05-20 05:58:59,"Tax","Correction","analytics-chargedescription-32","Recurring",2024-10-01 01:37:25,2024-08-10 06:45:07,"Spend","instance-commitmentdiscountid-32",NULL,"Used","analytics-commitmentdiscounttype-32",576.957479,NULL,867.218357,NULL,273.547786,"network-invoiceissuername-32",818.017596,895.586734,"Other",470.138466,"volume-pricingunit-32","storage-providername-32","storage-publishername-32",NULL,"gateway-regionname-32","volume-resourceid-32","compute-resourcename-32","compute-resourcetype-32","Developer Tools","database-servicename-32",NULL,"container-skupriceid-32","serverless-subaccountid-32","database-subaccountname-32","{""key"":""value-32""}"
"gateway-availabilityzone-33",795.736308,"serverless-billingaccountid-33","network-billingaccountname-33","AUD",2024-09-14 18:46:33,2024-10-18 11:23:15,"Adjustment","Correction","gateway-chargedescription-33","Recurring",2024-05-11 04:25:25,2024-02-05 22:31:28,"Spend","database-commitmentdiscountid-33","serverless-commitmentdiscountname-33","Unused","serverless-commitmentdiscounttype-33",588.752106,"analytics-consumedunit-33",487.956809,55.439786,304.038293,"instance-invoiceissuername-33",-806.596989,524.655591,"Dynamic",250.766756,"serverless-pricingunit-33","analytics-providername-33","analytics-publishername-33","analytics-regionid-33","gateway-regionname-33","database-resourceid-33","compute-resourcename-33","serverless-resourcetype-33","Compute","analytics-servicename-33","storage-skuid-33",NULL,NULL,"gateway-subaccountname-33","{""key"":""value-33""}"
NULL,581.754515,"volume-billingaccountid-34","volume-billingaccountname-34","AUD",2024-11-14 21:12:34,2024-12-10 23:42:03,"Purchase","Correction","compute-chargedescription-34","Recurring",2024-12-04 17:58:29,2024-01-22 06:42:57,"Spend","database-commitmentdiscountid-34",NULL,"Unused","database-commitmentdiscounttype-34",216.679913,"volume-consumedunit-34",425.163363,919.540009,134.197319,"analytics-invoiceissuername-34",783.698468,313.093554,"Dynamic",798.797128,NULL,"gateway-providername-34","analytics-publishername-34","serverless-regionid-34","storage-regionname-34","instance-resourceid-34","volume-resourcename-34","analytics-resourcetype-34","Integration","gateway-servicename-34","serverless-skuid-34","database-skupriceid-34","analytics-subaccountid-34","container-subaccountname-34","{""key"":""value-34""}"
"network-availabilityzone-35",782.583074,"database-billingaccountid-35","network-billingaccountname-35","USD",2024-11-07 23:59:43,2024-12-10 07:24:04,"Credit","Correction",NULL,"One-Time",2024-06-09 15:55:38,2024-06-18 07:57:10,"Spend",NULL,"instance-commitmentdiscountname-35","Unused","instance-commitmentdiscounttype-35",71.250209,"compute-consumedunit-35",655.114769,858.711045,572.457347,"analytics-invoiceissuername-35",641.354573,23.186205,"Dynamic",341.084781,"gateway-pricingunit-35","network-providername-35","analytics-publishername-35","container-regionid-35","database-regionname-35",NULL,NULL,NULL,"Analytics","storage-servicename-35","instance-skuid-35","analytics-skupriceid-35","gateway-subaccountid-35","container-subaccountname-35","{""key"":""value-35""}"
